,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"GIGABYTE Laptop U4 UD-70US823SO Intel Core i7 11th Gen 1195G7 (2.90GHz) 16GB Memory 512 GB Gen4 SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit",#69 in Laptops / Notebooks,GIGABYTE,,U4 UD-70US823SO,Silver,Windows 11 Home 64-bit,Intel Core i7-1195G7 2.90 GHz,"14"" IPS",16GB,512 GB Gen4 SSD,Intel Iris Xe Graphics,Shared system memory,"12.68"" x 8.54"" x 0.68""",2.18 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),,Quad-core Processor,12 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,Thin Bezel FHD IPS-level Anti-glare Display LCD,Intel Iris Xe Graphics,Integrated Card,512 GB Gen4,8 GB onboard + 8 GB x 1,1,0,No,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Wi-Fi 6,Bluetooth 5.2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 2 Type-A,1 x HDMI 2.0 (with HDCP),Backlit Keyboard (White Color),Backlit,HD Camera,Micro SD,Thin and Light,Home / Personal,Consumer,Li-ion 36Wh,,,"February 16, 2022","2    649.00
Name: 99, dtype: object",,,DDR4 3200,,Tiger Lake,"2x M.2 SSD slots (Type 2280, supports 1x NVMe PCIe Gen3 & SATA/ 1x NVMe PCIe Gen4)",16 GB,,1 x Thunderbolt 4 (Type-C) (USB4 / DP / PD charging),1 x Headphone/Microphone Combo Jack,,65-watt AC Adapter,,,Dual-Array MicrophoneDTS:X Ultra,,,,2 x 1.5 Watt Speaker,Thin,,,,,,,,,,,,,,,,,,,
"Acer Laptop Aspire 5 A515-45-R1BF AMD Ryzen 7 5000 Series 5700U (1.80GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit",#25 in Laptops / Notebooks,Acer,Aspire 5,A515-45-R1BF,Pure Silver,Windows 11 Home 64-bit,AMD Ryzen 7 5700U 1.80 GHz,"15.6"" IPS",16GB,512 GB NVMe SSD,AMD Radeon Graphics,Shared system memory,"14.31"" x 9.86"" x 0.71""",3.88 lbs.,AMD Ryzen 7 5000 Series,5700U (1.80GHz),,8-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,Acer ComfyView LED-backlit IPS Display,AMD Radeon Graphics,Integrated Card,512 GB NVMe,8 GB onboard + 8 GB x 1,1,0,No,802.11ax Wi-Fi 6 Dual-Band 2.4GHz and 5GHz featuring 2x2 MU-MIMO technology,Wi-Fi 6,Bluetooth 5.0,1 x USB 3.2 Gen 1 Type-C (up to 5 Gbps)2 x USB 3.2 Gen 1 Type-A (one with Power-off Charging)1 x USB 2.0,1 x HDMI 2.0 Port with HDCP support,,Backlit,HD Webcam (1280 x 720),,Thin and Light,Home / Personal,Consumer,Lithium Ion,Up to 11 Hours,LaptopAC Adapter & Power CordHard Drive Upgrade Kit,"December 29, 2021","2    786.99
Name: 100, dtype: object",NX.A82AA.00H,No,,Acer Fingerprint Reader supporting Windows Hello,,1 x Available Hard Drive Bay,24 GB (8 GB onboard + 16 GB x 1),,,1 x Headphone/Microphone Combo Jack,Multi-gesture touchpad,,,,Acer TrueHarmony Gen 2 TechnologyAcer Purified.Voice Technology with Two Built-in MicrophonesCompatible with Cortana with Voice,,10/100/1000Mbps,,Two Built-in Stereo Speakers,,,,,,,,,1 x Ethernet (RJ-45) Port,,,,,,,,,,,
"2022 Newest Dell Inspiron 3000 Laptop, 15.6"" Full HD Touch Display, Intel Core i3-1115G4, 16GB RAM, 1TB HDD, Webcam, Wi-Fi, Bluetooth, HDMI, Windows 10 Home, Black",,,Inspiron,,Black,Windows 10 Home,,,16GB,,,,,,Intel Core i3,3.00GHz,,,,"15.6""",Yes,,Full HD,1920 x 1080,,,Intel UHD Graphics,,No,,,,,,,,,,,,,,,Mainstream,,,,,"January 14, 2022","2    589.00
Name: 101, dtype: object",,1TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021 Newest Dell Business Laptop Latitude 3520, 15.6"" FHD IPS Backlit Display, i7-1165G7, 64GB RAM, 1TB PCIe SSD, Webcam, WiFi 6, USB-C, HDMI, Win 10 Pro",,,Latitude,3520,Gray,Windows 10 Pro,,,64GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,,,"15.6""",No,,,,,,Intel Iris Xe Graphics,,1 TB PCIe,,,,,,,,,,,,,,,,,,,,"August 12, 2021","2    1,399.00
Name: 102, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 512GB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH71T - OEM",#63 in Laptops / Notebooks,ASUS,ZenBook Pro 15,UM535QE-XH71T,Pine Gray (Aluminum),Windows 11 Pro 64-bit,AMD Ryzen 7 5800H 3.20 GHz,"15.6"" OLED Touchscreen",16GB,512 GB M.2 NVMe PCIe 3.0 SSD,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4GB,"13.94"" x 9.37"" x 0.70""-0.71""",4.41 lbs.,AMD Ryzen 7 5000 Series,5800H (3.20GHz),Up to 4.40 GHz,8-core Processor,16 MB,"15.6""",Yes,Yes,Full HD,1920 x 1080,OLED,"OLED, 16:9, Glossy, 100% DCI-P3, Touchscreen, PANTONE Validated",NVIDIA GeForce RTX 3050 Ti Laptop GPU,Dedicated Card,512 GB PCIe,16 GB onboard,,,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A / 1 x USB 3.2 Gen 2 Type-C,1 x HDMI 2.0,Backlit Chiclet Keyboard with Num-key,Backlit,HD camera with IR function to support Windows Hello,2-in-1 (SD/MMC),Thin and Light,Content Creation / Home / Personal,Consumer,"96WHrs, 3S2P, 6-cell Li-ion",,Sleeve,"February 16, 2022","2    1,399.99
Name: 103, dtype: object",90NB0V91-M006F0,No,,BIOS Booting User Password ProtectionTrusted Platform Module (Firmware TPM)IR webcam with Windows Hello supportUS MIL-STD 810G military-grade standard,,1 x M.2 2280 PCIe 3.0x4,,,,1 x 3.5mm Combo Audio Jack,,"150W AC AdapterOutput: 20V DC, 7.5A, 150WInput: 100~240V AC, 50/60Hz universal",,100% DCI-P3,SonicMasterAudio by ICEpowerBuilt-in array microphone,,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Gaming 3 15.6"" 120Hz Gaming Laptop AMD Ryzen 5-5600H 8GB RAM 512GB SSD RTX 3050 Ti 4GB GDDR6 Shadow Black",,Lenovo,,,Black,,,,8GB,,,,,,,,,,,"15.6""",No,,,1920 x 1080,,,,Integrated Card,,,,,,,,Yes,,1 x HDMI,,,,,,Gaming,,,,,"December 03, 2021","2    759.99
Name: 104, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Legion 5 Pro 16"" 165Hz QHD IPS NVIDIA G-SYNC 500 nits Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 512GB SSD RTX 3060 6GB GDDR6 TGP 130W",,Lenovo,,,,,,,16GB,,,,,,,,,,,"16.0""",No,,,2560 x 1600,,,,Integrated Card,,,,,,,,Yes,,HDMI 2.0,,,,,,Gaming,,,,,"December 03, 2021","2    1,339.99
Name: 105, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ProArt StudioBook 16 OLED Laptop, 16"" 3840 x 2400 OLED Display, Intel core i7, 32GB DDR4, 1TB PCIe SSD, NVIDIA GeForce RTX 3060, Windows 11 Pro, H7600HM-XB76, Star Black",#57 in Laptops / Notebooks,ASUS,ProArt StudioBook,H7600HM-XB76,Star Black,Windows 11 Pro 64-bit,Intel Core i7-11800H 2.30 GHz,"16"" OLED",32GB,1 TB M.2 NVMe PCIe 4.0 Performance SSD,NVIDIA GeForce RTX 3060 Laptop GPU,6GB,"14.25"" x 10.39"" x 0.78""-0.84""",5.29 lbs.,Intel Core i7 11th Gen,11800H (2.30GHz),,8-core Processor,24 MB,"16.0""",No,Yes,WQUXGA,3840 x 2400,OLED,"OLED, 400 nits, 16:10, Glossy, 100% DCI-P3, Pantone Validated",NVIDIA GeForce RTX 3060 Laptop GPU,Dedicated Card,1 TB PCIe,,2,,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2 (Dual band) 2x2,1 x USB 3.2 Gen 2 Type-C support display / power delivery / VR2 x USB 3.2 Gen 2 Type-A,1 x HDMI 2.1,Backlit Chiclet Keyboard with Num-key,Backlit,"HD camera with IR function to support Windows Hello, With privacy shutter",SD Express 7.0 card reader,Standard,Content Creation / Work / Business,Business,"90WHrs, 4S1P, 4-cell Li-ion",,,"November 17, 2021","2    2,529.00
Name: 106, dtype: object",90NB0VD1-M01080,No,,US MIL-STD 810H military-grade standardTrusted Platform Module (TPM) 2.0Fingerprint sensor integrated with Power KeyIR webcam with Windows Hello supportwith Cortana and Alexa voice-recognition support,Tiger Lake,2 x M.2 2280 PCIe 3.0x4,,,1 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,,"240W AC AdapterOutput: 20V DC, 12A, 240WInput: 100~240V AC 50/60Hz universal",,100% DCI-P3,SonicMasterSmart Amp TechnologyBuilt-in speakerBuilt-in array microphoneharman/kardon (Premium),,,1 x RJ-45 (1Gbps),,,Intel HM570,,,,,,,,,,,,,,,,,,
"ASUS VivoBook Pro 16X OLED Laptop, 16"" WQUXGA 16:10 Display, Intel Core i7-11370H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Windows 11 Pro, DialPad, Comet Grey, N7600PC-NB74",,ASUS,VivoBook Pro,N7600PC-NB74,Comet Grey,Windows 11 Pro 64-bit,Intel Core i7-11370H 3.30 GHz,"16"" OLED",16GB,1 TB PCIe SSD,NVIDIA GeForce RTX 3050 Laptop GPU,4GB,"14.19"" x 10.20"" x 0.74""",4.30 lbs.,Intel Core i7 11th Gen,11370H (3.30GHz),Up to 4.80 GHz,Quad-core Processor,12 MB,"16.0""",No,Yes,,3840 x 2400,OLED,"16:10, 400 nits (HDR), Glare, 100% DCI-P3, Narrow border",NVIDIA GeForce RTX 3050 Laptop GPU,Dedicated Card,1 TB PCIe,16 GB onboard,,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 2 Type-C support display / power delivery2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,"720p HD camera, With privacy shutter",Micro SD,Thin and Light,Gaming,Consumer,"96WHrs, 3S2P, 6-cell Li-ion",,"Carry bag, Wired optical mouse","January 26, 2022","2    1,399.99
Name: 107, dtype: object",90NB0UI2-M03820,No,,Fingerprint reader,Tiger Lake,,,,,1 x 3.5mm Combo Audio Jack,,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Laptop L510 Ultra Thin Laptop, 15.6"" FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-DB02",,ASUS,,L510MA-DB02,Star Black,Windows 10 in S mode,Intel Celeron N4020 1.10 GHz,"15.6""",4GB,64 GB eMMC,Intel UHD Graphics 600,Shared system memory,"14.20"" x 9.30"" x 0.70""",3.59 lbs.,Intel Celeron,N4020 (1.10GHz),Up to 2.80 GHz,Dual-core Processor,,"15.6""",No,Yes,Full HD,1920 x 1080,,"200 nits, Anti-glare",Intel UHD Graphics 600,Integrated Card,64 GB eMMC,4 GB onboard,,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,1 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 1 Type-C 1 x USB 2.0 Type-A,1 x HDMI,Backlit Chiclet Keyboard,Backlit,"VGA camera, Without privacy shutter",Micro SD,Thin and Light,Home / Personal,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",Up to 8 Hours,USB-A to RJ45 gigabit ethernet adapter,"October 13, 2021","2    279.63
Name: 108, dtype: object",90NB0Q65-M00540,,,Fingerprint reader,,,,,,1 x 3.5mm Combo Audio Jack,,,,45% NTSC,,,,,,,,Microsoft 365 Personal 1-year included.* (*Activation required with 6-months of Windows activation date.),,,,,,,,,,,,,,,,,
"ASUS ZenBook Duo 14 UX482 14"" FHD NanoEdge Touch Display, Core i7-1195G7, GeForce MX450, 16GB RAM, 1TB SSD, Innovative ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX482EGR-XB74T",#44 in Laptops / Notebooks,ASUS,ZenBook Duo,UX482EGR-XB74T,Celestial Blue (Aluminum),Windows 11 Pro 64-bit,Intel Core i7-1195G7 2.90 GHz,"14"" IPS Touchscreen",16GB,1 TB M.2 NVMe PCIe 3.0 SSD,NVIDIA GeForce MX450,2GB,"12.76"" x 8.74"" x 0.67""-0.68""",3.57 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),Up to 5.00 GHz,Quad-core Processor,12 MB,"14.0""",Yes,Yes,Full HD,1920 x 1080,IPS,"400 nits, Anti-glare, 100% sRGB color gamut, PANTONE Validated, IPS-level Panel",NVIDIA GeForce MX450,Dedicated Card,1 TB PCIe,16 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Home / Personal,Consumer,"70WHrs, 4S1P, 4-cell Li-ion",,SleeveStandStylus,"December 09, 2021","2    1,469.99
Name: 109, dtype: object",90NB0S51-M07120,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,"ScreenPad Plus (12.65"" 1920 x 515 IPS-level Panel Support Stylus)","TYPE-C, 65W AC AdapterOutput: 20V DC, 3.25A, 65WInput: 100-240V AC 50/60GHz universal",,100% sRGB,Built-in array microphoneharman/kardon (Premium),,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Silver (Latest Model)",,Apple,,MacBook Pro MYDA2LL/A,Silver,macOS 11 Big Sur,Apple M1 8 Core Processor 3.2 GHz,,8GB,,Integrated Graphics,,11.97 x 8.36 x 0.61,3.0 Pounds,,,,8-core Processor,16 MB,"13.3""",No,,IPS,2560 x 1600,,,Integrated Graphics,Integrated Card,,,,2,No,802.11,,,0,No,Standard,Backlit,Yes,,Notebook,Home / Personal,,Lithium-Polymer,Battery life up to 20 Hours,,"June 03, 2021","2    1,269.95
Name: 110, dtype: object",MYDA2LL/A-NW,,,,,256 GB SSD Hard Drive,16 GB,Not Included,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T",#82 in Laptops / Notebooks,ASUS,ZenBook Pro,UM535QE-XH91T,Pine Gray,Windows 11 Pro 64-bit,AMD Ryzen 9 5900HX 3.30 GHz,"15.6"" OLED Touchscreen",16 GB LPDDR4X,1 TB PCIe SSD,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4GB,"13.94"" x 9.37"" x 0.70""-0.71""",4.41 lbs.,AMD Ryzen 9 5000 Series,5900HX (3.30GHz),Up to 4.60 GHz,8-core Processor,16 MB,"15.6""",Yes,Yes,Full HD,1920 x 1080,OLED,"OLED, 16:9, 400 nits (HDR), Glare, 100% DCI-P3, Narrow border",NVIDIA GeForce RTX 3050 Ti Laptop GPU,Dedicated Card,1 TB PCIe,16 GB onboard,0,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 2 Type-C,1 x HDMI 2.0b,Backlit Chiclet Keyboard with Num-key,Backlit,HD camera with IR function to support Windows Hello,2-in-1 card reader SD/MMC,Thin and Light,Content Creation,Consumer,"96WHrs, 3S2P, 6-cell Li-ion",,Sleeve,"January 14, 2022","2    1,499.99
Name: 112, dtype: object",90NB0V91-M006A0,No,,,,,,,,1 x 3.5mm Combo Audio Jack,,,,100% DCI-P3,SonicMasterAudio by ICEpowerBuilt-in speakerBuilt-in array microphonewith Cortana and Alexa voice-recognition support,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Laptop ZenBook UX5400EG-XB73T Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 512 GB PCIe SSD NVIDIA GeForce MX450 14.0"" Touchscreen Windows 11 Pro 64-bit",,ASUS,ZenBook,UX5400EG-XB73T,Pine Gray,Windows 11 Pro 64-bit,Intel Core i7-1165G7 2.80 GHz,"14"" OLED 90Hz Touchscreen",16GB,512 GB PCIe SSD,NVIDIA GeForce MX450,2GB,"12.25"" x 8.71"" x 0.67""",3.09 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"14.0""",Yes,Yes,WQXGA+,2880 x 1800,OLED,"90Hz, OLED, 16:10, Bend + 400nits (HDR), Glare, DCI-P3:100%, Narrow border",NVIDIA GeForce MX450,Dedicated Card,512 GB PCIe,16 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 2 Type-A,1 x HDMI 2.0b,Backlit Chiclet Keyboard,Backlit,720p HD camera,Micro SD,Thin and Light,Home / Personal,Consumer,"63WHrs, 3S1P, 3-cell Li-ion",,"Sleeve, USB-A to RJ45 gigabit ethernet adapter","January 26, 2022","2    1,399.99
Name: 113, dtype: object",90NB0T83-M04270,No,,Fingerprint reader,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,ScreenPad 2.0,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6"" FHD Display, Intel Core i7-1165G7 CPU, 16 GB DDR4 RAM, 512 GB PCIe SSD, Fingerprint Reader, Wi-Fi 6, Windows 10 Home, Indie Black, S533EA-DH74",#34 in Laptops / Notebooks,ASUS,VivoBook S15,S533EA-DH74,Indie Black (Aluminum),Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6"" IPS",16GB,512 GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,Shared system memory,"14.20"" x 9.20"" x 0.63""",3.97 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,"250 nits, Anti-glare display, 45% NTSC, IPS-level Panel",Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,16 GB onboard,,,No,Intel Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,2 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, Without privacy shutter",Micro SD,Thin and Light,Mainstream,Consumer,"50WHrs, 3S1P, 3-cell Li-ion",,,"November 20, 2020","2    889.99
Name: 114, dtype: object",90NB0SF3-M00420,,,Fingerprint reader,Tiger Lake,512 GB M.2 NVMe PCIe 3.0 SSD,,,,1 x 3.5mm Combo Audio Jack,,65-watt AC Adapter,,45% NTSC,,,,,Audio by ICEpowerBuilt-in speakerBuilt-in array microphoneHarman / kardon (Mainstream),,,,,,,,,,,,,,,,,,,,
New Macbook Air 13.3-inch (1 Yr Warranty) 1.8GHZ Dual Core i5 (Late 2017) MQD32LL/A 128GB SSD 8GB Memory 1440 x 900 Display Mac OS Hi Sierra Power Adapter,,Apple,MacBook Air,,Silver,macOS 10.13 High Sierra,,"13.3""",8GB,128 GB,Intel HD Graphics 6000,Shared memory,,2 - 2.9 lbs.,Intel Core i5,1.80GHz,,Dual-core Processor,,"13.3""",No,,,1440 x 900,,,Intel HD Graphics 6000,Integrated Card,128 GB,,,,No,802.11a/b/g/n  Wireless LAN,,Yes,,,,,Yes,,Thin and Light,Everyday Value,,,,"Macbook Air Laptop shipped in heavy duty shipping boxes for maximum protection, new battery, AC adapter and power cord, Apple macOS Hi Sierra installed.  Paper manuals not included. Electronic versions are available online.","March 10, 2022","2    469.00
Name: 115, dtype: object",MQD32LL/A,No,,,,,8GB,,,,,,,,Integrated Sound card,,,,Integrated Stereo Speakers,,,,,,,1 x Thunderbolt,,,,,,,,,,,,,
"Lenovo IdeaPad 5i 15.6"" Laptop Intel Core i7-1165G7 12GB RAM 512GB SSD Graphite Grey",,Lenovo,,,Gray,Windows 11 Home,,,12GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,Quad-core Processor,,"15.6""",No,,,1920 x 1080,,,,Integrated Card,512 GB,,,,No,,,Yes,,1 x HDMI,,,Yes,,,Home / Personal,,,,,"October 30, 2021","2    679.99
Name: 116, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 K513 Thin & Light Laptop, 15.6"" FHD Display, Intel i7-1165G7 CPU, NVIDIA GeForce MX350, 16GB DDR4, 256GB SSD + 1TB HDD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EQ-PH77",,ASUS,VivoBook,K513EQ-PH77,Black,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6"" IPS",16GB,"1 TB SATA 5400 RPM 2.5"" HDD + 256 GB M.2 NVMe PCIe 3.0 SSD",NVIDIA GeForce MX350,2GB,"14.10"" x 9.30"" x 0.70""",3.97 lbs. w/ battery,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"250 nits, Anti-glare display, 85% Screen-to-body ratio, IPS-level Panel",NVIDIA GeForce MX350,Dedicated Card,256 GB PCIe,8 GB onboard + 8 GB x 1,1,0,No,Intel Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, Without privacy shutter",Micro SD 4.0 card reader,Thin and Light,Home / Personal,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",,,"March 27, 2022","2    959.99
Name: 117, dtype: object",90NB0SK1-M00200,1TB,,BIOS Booting User Password ProtectionTrusted Platform Module (Firmware TPM)Fingerprint sensor,Tiger Lake,"1 TB SATA 5400 RPM 2.5"" HDD + 256 GB M.2 NVMe PCIe 3.0 SSD",,,,1 x Headphone/Microphone Combo Jack,,65-watt AC Adapter,,45% NTSC,Audio by ICEpowerBuilt-in microphoneHarman / kardon (Mainstream),,,,Internal Speakers,,,,5400 RPM,SATA,,,,,,,,,,,,,,,
"ASUS ZenBook Duo 14 UX482 14"" FHD NanoEdge Touch Display, Core i7-1195G7, GeForce MX450, 32GB RAM, 1TB SSD, Innovative ScreenPad Plus, Windows 11 Pro, Wifi 6E, Celestial Blue, UX482EGR-XB77T",#67 in Laptops / Notebooks,ASUS,ZenBook Duo,UX482EGR-XB77T,Celestial Blue,Windows 11 Pro 64-bit,Intel Core i7-1195G7 2.90 GHz,"14"" Touchscreen",32GB,1 TB PCIe SSD,NVIDIA GeForce MX450,2GB,"12.76"" x 8.74"" x 0.67""-0.68""",3.57 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),Up to 5.00 GHz,Quad-core Processor,12 MB,"14.0""",Yes,Yes,Full HD,1920 x 1080,,"400 nits, Anti-Glare, 72% NTSC, Wide View, Narrow border",NVIDIA GeForce MX450,Dedicated Card,1 TB PCIe,32 GB onboard,,,No,802.11ax  Wireless LAN,Wi-Fi 6E,Bluetooth 5.2 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Home / Personal,Consumer,"70WHrs, 4S1P, 4-cell Li-ion",,"Sleeve, Stand, Stylus","January 19, 2022","2    1,699.99
Name: 118, dtype: object",90NB0S51-M07110,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,3.5mm Combo Audio Jack,ScreenPad Plus,,,72% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Laptop Creator Z17 A12UGST-049 Intel Core i7 12th Gen 12700H (2.30GHz) 32GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3070 Ti Laptop GPU 17.0"" Touchscreen Windows 11 Pro 64-bit",,MSI,,Creator Z17 A12UGST-049,Lunar Gray,Windows 11 Pro 64-bit,Intel Core i7-12700H (Up to 4.70 GHz),"17"" QHD+ 165 Hz Touchscreen",32GB,1 TB NVMe SSD,NVIDIA GeForce RTX 3070 Ti Laptop GPU,8GB,"15.04"" x 10.24"" x 0.75""",6.79 lbs.,Intel Core i7 12th Gen,12700H (2.30GHz),Up to 4.70 GHz,14-core (6P+8E) Processor,24 MB,"17.0""",Yes,Yes,QHD+,2560 x 1600,,"16:10, 165 Hz 100% DCI-P3 Touch panel, support MSI active Pen (MPP2.0)",NVIDIA GeForce RTX 3070 Ti Laptop GPU,Dedicated Card,1 TB NVMe,16 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-A,1 x HDMI (4K@120Hz / 8K@60Hz),Per-key RGB Keyboard (99 key),Backlit,IR FHD Type (30fps/1080p),Full Size SD Express,Standard,Content Creation / Work / Business,Business,4 cell (90Whr) Li-Polymer,,,"January 25, 2022","2    3,149.00
Name: 119, dtype: object",,No,DDR5 4800,,Alder Lake,,64 GB,,2 x Thunderbolt 4,Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Finger print reader,240-watt AC Adapter,,100% DCI-P3,,,,,"Dynaudio Speakers 2W x 4, DTS",,,,,,,,,,,,,,,,,,,,
